| 14003 | G1 | 가장 긴 증가하는 부분 수열 5 | 연습문제 | [문제](https://www.acmicpc.net/problem/14003) / [풀이](/solutions/%5BG1%5D14003%20가장%20긴%20증가하는%20부분%20수열%205/) | [![python3](/assets/python3.svg)](/solutions/%5BG1%5D14003%20가장%20긴%20증가하는%20부분%20수열%205/submit.py)  |
| 2211 | G2 | 네트워크 복구 | 연습문제 | [문제](https://www.acmicpc.net/problem/2211) / [풀이](/solutions/%5BG2%5D2211%20네트워크%20복구/) | [![python3](/assets/python3.svg)](/solutions/%5BG2%5D2211%20네트워크%20복구/submit.py)  |
| 2266 | G2 | 금고 테스트 | 연습문제 | [문제](https://www.acmicpc.net/problem/2266) / [풀이](/solutions/%5BG2%5D2266%20금고%20테스트/) | [![python3](/assets/python3.svg)](/solutions/%5BG2%5D2266%20금고%20테스트/submit.py)  |
| 2623 | G2 | 음악프로그램 | 연습문제 | [문제](https://www.acmicpc.net/problem/2623) / [풀이](/solutions/%5BG2%5D2623%20음악프로그램/) | [![python3](/assets/python3.svg)](/solutions/%5BG2%5D2623%20음악프로그램/submit.py)  |
| 4491 | G2 | 로봇 청소기 | 연습문제 | [문제](https://www.acmicpc.net/problem/4491) / [풀이](/solutions/%5BG2%5D4491%20로봇%20청소기/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG2%5D4491%20로봇%20청소기/submit.cpp)  |
| 9370 | G2 | 미확인 도착지 | 연습문제 | [문제](https://www.acmicpc.net/problem/9370) / [풀이](/solutions/%5BG2%5D9370%20미확인%20도착지/) | [![python3](/assets/python3.svg)](/solutions/%5BG2%5D9370%20미확인%20도착지/submit.py)  |
| 1167 | G3 | 트리의 지름 | 연습문제 | [문제](https://www.acmicpc.net/problem/1167) / [풀이](/solutions/%5BG3%5D1167%20트리의%20지름/) | [![python3](/assets/python3.svg)](/solutions/%5BG3%5D1167%20트리의%20지름/submit.py)  |
| 1300 | G3 | K번째 수 | 연습문제 | [문제](https://www.acmicpc.net/problem/1300) / [풀이](/solutions/%5BG3%5D1300%20K번째%20수/) | [![python3](/assets/python3.svg)](/solutions/%5BG3%5D1300%20K번째%20수/submit.py)  |
| 13459 | G3 | 구슬 탈출 | 연습문제 | [문제](https://www.acmicpc.net/problem/13459) / [풀이](/solutions/%5BG3%5D13459%20구슬%20탈출/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG3%5D13459%20구슬%20탈출/submit.cpp)  |
| 13460 | G3 | 구슬 탈출2 | 연습문제 | [문제](https://www.acmicpc.net/problem/13460) / [풀이](/solutions/%5BG3%5D13460%20구슬%20탈출2/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG3%5D13460%20구슬%20탈출2/submit.cpp)  |
| 15483 | G3 | 최소 편집 | 연습문제 | [문제](https://www.acmicpc.net/problem/15483) / [풀이](/solutions/%5BG3%5D15483%20최소%20편집/) | [![python3](/assets/python3.svg)](/solutions/%5BG3%5D15483%20최소%20편집/submit.py)  |
| 16434 | G3 | 드래곤 앤 던전 | 연습문제 | [문제](https://www.acmicpc.net/problem/16434) / [풀이](/solutions/%5BG3%5D16434%20드래곤%20앤%20던전/) | [![python3](/assets/python3.svg)](/solutions/%5BG3%5D16434%20드래곤%20앤%20던전/submit.py)  |
| 16986 | G3 | 인싸들의 가위바위보 | 연습문제 | [문제](https://www.acmicpc.net/problem/16986) / [풀이](/solutions/%5BG3%5D16986%20인싸들의%20가위바위보/) | [![python3](/assets/python3.svg)](/solutions/%5BG3%5D16986%20인싸들의%20가위바위보/submit.py)  |
| 1781 | G3 | 컵라면 | 연습문제 | [문제](https://www.acmicpc.net/problem/1781) / [풀이](/solutions/%5BG3%5D1781%20컵라면/) | [![python3](/assets/python3.svg)](/solutions/%5BG3%5D1781%20컵라면/submit.py)  |
| 1941 | G3 | 소문난 칠공주 | 연습문제 | [문제](https://www.acmicpc.net/problem/1941) / [풀이](/solutions/%5BG3%5D1941%20소문난%20칠공주/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG3%5D1941%20소문난%20칠공주/submit.cpp) [![python3](/assets/python3.svg)](/solutions/%5BG3%5D1941%20소문난%20칠공주/submit.py)  |
| 20129 | G3 | 뒤집힌 계산기 | 연습문제 | [문제](https://www.acmicpc.net/problem/20129) / [풀이](/solutions/%5BG3%5D20129%20뒤집힌%20계산기/) | [![python3](/assets/python3.svg)](/solutions/%5BG3%5D20129%20뒤집힌%20계산기/submit.py)  |
| 2352 | G3 | 반도체 설계 | 연습문제 | [문제](https://www.acmicpc.net/problem/2352) / [풀이](/solutions/%5BG3%5D2352%20반도체%20설계/) | [![python3](/assets/python3.svg)](/solutions/%5BG3%5D2352%20반도체%20설계/submit.py)  |
| 8980 | G3 | 택배 | 연습문제 | [문제](https://www.acmicpc.net/problem/8980) / [풀이](/solutions/%5BG3%5D8980%20택배/) | [![python3](/assets/python3.svg)](/solutions/%5BG3%5D8980%20택배/submit.py)  |
| 1043 | G4 | 거짓말 | 연습문제 | [문제](https://www.acmicpc.net/problem/1043) / [풀이](/solutions/%5BG4%5D1043%20거짓말/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D1043%20거짓말/submit.py)  |
| 1082 | G4 | 방 번호 | 연습문제 | [문제](https://www.acmicpc.net/problem/1082) / [풀이](/solutions/%5BG4%5D1082%20방%20번호/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D1082%20방%20번호/submit.py)  |
| 11404 | G4 | 플로이드 | 연습문제 | [문제](https://www.acmicpc.net/problem/11404) / [풀이](/solutions/%5BG4%5D11404%20플로이드/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG4%5D11404%20플로이드/submit.cpp) [![python3](/assets/python3.svg)](/solutions/%5BG4%5D11404%20플로이드/submit.py)  |
| 1261 | G4 | 알고스팟 | 연습문제 | [문제](https://www.acmicpc.net/problem/1261) / [풀이](/solutions/%5BG4%5D1261%20알고스팟/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D1261%20알고스팟/submit.py)  |
| 14002 | G4 | 가장 긴 증가하는 부분 수열 4 | 연습문제 | [문제](https://www.acmicpc.net/problem/14002) / [풀이](/solutions/%5BG4%5D14002%20가장%20긴%20증가하는%20부분%20수열%204/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D14002%20가장%20긴%20증가하는%20부분%20수열%204/submit.py)  |
| 15998 | G4 | 카카오머니 | 연습문제 | [문제](https://www.acmicpc.net/problem/15998) / [풀이](/solutions/%5BG4%5D15998%20카카오머니/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D15998%20카카오머니/submit.py)  |
| 16120 | G4 | PPAP | 연습문제 | [문제](https://www.acmicpc.net/problem/16120) / [풀이](/solutions/%5BG4%5D16120%20PPAP/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG4%5D16120%20PPAP/submit.cpp)  |
| 1647 | G4 | 도시 분할 계획 | 연습문제 | [문제](https://www.acmicpc.net/problem/1647) / [풀이](/solutions/%5BG4%5D1647%20도시%20분할%20계획/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D1647%20도시%20분할%20계획/submit.py)  |
| 1707 | G4 | 이분 그래프 | 연습문제 | [문제](https://www.acmicpc.net/problem/1707) / [풀이](/solutions/%5BG4%5D1707%20이분%20그래프/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D1707%20이분%20그래프/submit.py)  |
| 17140 | G4 | 이차원 배열과 연산 | 연습문제 | [문제](https://www.acmicpc.net/problem/17140) / [풀이](/solutions/%5BG4%5D17140%20이차원%20배열과%20연산/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG4%5D17140%20이차원%20배열과%20연산/submit.cpp)  |
| 17142 | G4 | 연구소 3 | 연습문제 | [문제](https://www.acmicpc.net/problem/17142) / [풀이](/solutions/%5BG4%5D17142%20연구소%203/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D17142%20연구소%203/submit.py)  |
| 17281 | G4 | 야구공 | 연습문제 | [문제](https://www.acmicpc.net/problem/17281) / [풀이](/solutions/%5BG4%5D17281%20야구공/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D17281%20야구공/submit.py)  |
| 1744 | G4 | 수 묶기 | 연습문제 | [문제](https://www.acmicpc.net/problem/1744) / [풀이](/solutions/%5BG4%5D1744%20수%20묶기/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D1744%20수%20묶기/submit.py)  |
| 1939 | G4 | 중량제한 | 연습문제 | [문제](https://www.acmicpc.net/problem/1939) / [풀이](/solutions/%5BG4%5D1939%20중량제한/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D1939%20중량제한/submit.py)  |
| 1987 | G4 | 알파벳 | 연습문제 | [문제](https://www.acmicpc.net/problem/1987) / [풀이](/solutions/%5BG4%5D1987%20알파벳/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D1987%20알파벳/submit.py)  |
| 20056 | G4 | 마법사 상어와 파이어볼 | 연습문제 | [문제](https://www.acmicpc.net/problem/20056) / [풀이](/solutions/%5BG4%5D20056%20마법사%20상어와%20파이어볼/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG4%5D20056%20마법사%20상어와%20파이어볼/submit.cpp)  |
| 2136 | G4 | 개미 | 연습문제 | [문제](https://www.acmicpc.net/problem/2136) / [풀이](/solutions/%5BG4%5D2136%20개미/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D2136%20개미/submit.py)  |
| 2458 | G4 | 키 순서 | 연습문제 | [문제](https://www.acmicpc.net/problem/2458) / [풀이](/solutions/%5BG4%5D2458%20키%20순서/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG4%5D2458%20키%20순서/submit.cpp)  |
| 2473 | G4 | 세 용액 | 연습문제 | [문제](https://www.acmicpc.net/problem/2473) / [풀이](/solutions/%5BG4%5D2473%20세%20용액/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG4%5D2473%20세%20용액/submit.cpp) [![python3](/assets/python3.svg)](/solutions/%5BG4%5D2473%20세%20용액/submit.py)  |
| 2573 | G4 | 빙산 | 연습문제 | [문제](https://www.acmicpc.net/problem/2573) / [풀이](/solutions/%5BG4%5D2573%20빙산/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D2573%20빙산/submit.py)  |
| 2638 | G4 | 치즈 | 연습문제 | [문제](https://www.acmicpc.net/problem/2638) / [풀이](/solutions/%5BG4%5D2638%20치즈/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG4%5D2638%20치즈/submit.cpp)  |
| 4179 | G4 | 불! | 연습문제 | [문제](https://www.acmicpc.net/problem/4179) / [풀이](/solutions/%5BG4%5D4179%20불!/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG4%5D4179%20불!/submit.cpp)  |
| 5427 | G4 | 불 | 연습문제 | [문제](https://www.acmicpc.net/problem/5427) / [풀이](/solutions/%5BG4%5D5427%20불/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG4%5D5427%20불/submit.cpp)  |
| 8983 | G4 | 사냥꾼 | 연습문제 | [문제](https://www.acmicpc.net/problem/8983) / [풀이](/solutions/%5BG4%5D8983%20사냥꾼/) | [![python3](/assets/python3.svg)](/solutions/%5BG4%5D8983%20사냥꾼/submit.py)  |
| 9466 | G4 | 텀 프로젝트 | 연습문제 | [문제](https://www.acmicpc.net/problem/9466) / [풀이](/solutions/%5BG4%5D9466%20텀%20프로젝트/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG4%5D9466%20텀%20프로젝트/submit.cpp) [![python3](/assets/python3.svg)](/solutions/%5BG4%5D9466%20텀%20프로젝트/submit.py)  |
| 1013 | G5 | Contact | 연습문제 | [문제](https://www.acmicpc.net/problem/1013) / [풀이](/solutions/%5BG5%5D1013%20Contact/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D1013%20Contact/submit.py)  |
| 1013 | G5 | Contact2 | 연습문제 | [문제](https://www.acmicpc.net/problem/1013) / [풀이](/solutions/%5BG5%5D1013%20Contact2/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D1013%20Contact2/submit.py)  |
| 12865 | G5 | 평범한 배낭 | 연습문제 | [문제](https://www.acmicpc.net/problem/12865) / [풀이](/solutions/%5BG5%5D12865%20평범한%20배낭/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D12865%20평범한%20배낭/submit.py)  |
| 13549 | G5 | 숨바꼭질 3 | 연습문제 | [문제](https://www.acmicpc.net/problem/13549) / [풀이](/solutions/%5BG5%5D13549%20숨바꼭질%203/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG5%5D13549%20숨바꼭질%203/submit.cpp)  |
| 1446 | G5 | 지름길 | 연습문제 | [문제](https://www.acmicpc.net/problem/1446) / [풀이](/solutions/%5BG5%5D1446%20지름길/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D1446%20지름길/submit.py)  |
| 14500 | G5 | 테트로미노 | 연습문제 | [문제](https://www.acmicpc.net/problem/14500) / [풀이](/solutions/%5BG5%5D14500%20테트로미노/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D14500%20테트로미노/submit.py)  |
| 14719 | G5 | 빗물 | 연습문제 | [문제](https://www.acmicpc.net/problem/14719) / [풀이](/solutions/%5BG5%5D14719%20빗물/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D14719%20빗물/submit.py)  |
| 15681 | G5 | 트리와 쿼리 | 연습문제 | [문제](https://www.acmicpc.net/problem/15681) / [풀이](/solutions/%5BG5%5D15681%20트리와%20쿼리/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D15681%20트리와%20쿼리/submit.py)  |
| 15686 | G5 | 치킨 배달 | 연습문제 | [문제](https://www.acmicpc.net/problem/15686) / [풀이](/solutions/%5BG5%5D15686%20치킨%20배달/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D15686%20치킨%20배달/submit.py)  |
| 15961 | G5 | 회전 초밥 | 연습문제 | [문제](https://www.acmicpc.net/problem/15961) / [풀이](/solutions/%5BG5%5D15961%20회전%20초밥/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG5%5D15961%20회전%20초밥/submit.cpp) [![cpp](/assets/cpp.svg)](/solutions/%5BG5%5D15961%20회전%20초밥/submit.cpp)  |
| 17144 | G5 | 미세먼지 안녕! | 연습문제 | [문제](https://www.acmicpc.net/problem/17144) / [풀이](/solutions/%5BG5%5D17144%20미세먼지%20안녕!/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D17144%20미세먼지%20안녕!/submit.py)  |
| 1747 | G5 | 소수&팰린드롬 | 연습문제 | [문제](https://www.acmicpc.net/problem/1747) / [풀이](/solutions/%5BG5%5D1747%20소수&팰린드롬/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG5%5D1747%20소수&팰린드롬/submit.cpp)  |
| 1759 | G5 | 암호 만들기 | 연습문제 | [문제](https://www.acmicpc.net/problem/1759) / [풀이](/solutions/%5BG5%5D1759%20암호%20만들기/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D1759%20암호%20만들기/submit.py)  |
| 1915 | G5 | 가장 큰 정삼각형 | 연습문제 | [문제](https://www.acmicpc.net/problem/1915) / [풀이](/solutions/%5BG5%5D1915%20가장%20큰%20정삼각형/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D1915%20가장%20큰%20정삼각형/submit.py)  |
| 2170 | G5 | 선 긋기 | 연습문제 | [문제](https://www.acmicpc.net/problem/2170) / [풀이](/solutions/%5BG5%5D2170%20선%20긋기/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D2170%20선%20긋기/submit.py)  |
| 2225 | G5 | 합분해 | 연습문제 | [문제](https://www.acmicpc.net/problem/2225) / [풀이](/solutions/%5BG5%5D2225%20합분해/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D2225%20합분해/submit.py)  |
| 2470 | G5 | 두 용액 | 연습문제 | [문제](https://www.acmicpc.net/problem/2470) / [풀이](/solutions/%5BG5%5D2470%20두%20용액/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG5%5D2470%20두%20용액/submit.cpp)  |
| 2493 | G5 | 탑 | 연습문제 | [문제](https://www.acmicpc.net/problem/2493) / [풀이](/solutions/%5BG5%5D2493%20탑/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D2493%20탑/submit.py)  |
| 2631 | G5 | 줄세우기 | 연습문제 | [문제](https://www.acmicpc.net/problem/2631) / [풀이](/solutions/%5BG5%5D2631%20줄세우기/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D2631%20줄세우기/submit.py)  |
| 2636 | G5 | 치즈 | 연습문제 | [문제](https://www.acmicpc.net/problem/2636) / [풀이](/solutions/%5BG5%5D2636%20치즈/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D2636%20치즈/submit.py)  |
| 2668 | G5 | 숫자고르기 | 연습문제 | [문제](https://www.acmicpc.net/problem/2668) / [풀이](/solutions/%5BG5%5D2668%20숫자고르기/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D2668%20숫자고르기/submit.py)  |
| 5014 | G5 | 스타트링크 | 연습문제 | [문제](https://www.acmicpc.net/problem/5014) / [풀이](/solutions/%5BG5%5D5014%20스타트링크/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D5014%20스타트링크/submit.py)  |
| 7682 | G5 | 틱택토 | 연습문제 | [문제](https://www.acmicpc.net/problem/7682) / [풀이](/solutions/%5BG5%5D7682%20틱택토/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D7682%20틱택토/submit.py)  |
| 9251 | G5 | LCS | 연습문제 | [문제](https://www.acmicpc.net/problem/9251) / [풀이](/solutions/%5BG5%5D9251%20LCS/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D9251%20LCS/submit.py)  |
| 9663 | G5 | N-Queen | 연습문제 | [문제](https://www.acmicpc.net/problem/9663) / [풀이](/solutions/%5BG5%5D9663%20N-Queen/) | [![python3](/assets/python3.svg)](/solutions/%5BG5%5D9663%20N-Queen/submit.py)  |
| 11048 | S1 | 이동하기 | 연습문제 | [문제](https://www.acmicpc.net/problem/11048) / [풀이](/solutions/%5BS1%5D11048%20이동하기/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D11048%20이동하기/submit.cpp)  |
| 11286 | S1 | 절대값 힙 | 연습문제 | [문제](https://www.acmicpc.net/problem/11286) / [풀이](/solutions/%5BS1%5D11286%20절대값%20힙/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D11286%20절대값%20힙/submit.cpp)  |
| 12849 | S1 | 본대산책 | 연습문제 | [문제](https://www.acmicpc.net/problem/12849) / [풀이](/solutions/%5BS1%5D12849%20본대산책/) | [![python3](/assets/python3.svg)](/solutions/%5BS1%5D12849%20본대산책/submit.py)  |
| 13335 | S1 | 트럭 | 연습문제 | [문제](https://www.acmicpc.net/problem/13335) / [풀이](/solutions/%5BS1%5D13335%20트럭/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D13335%20트럭/submit.cpp)  |
| 15900 | S1 | 나무 탈출 | 연습문제 | [문제](https://www.acmicpc.net/problem/15900) / [풀이](/solutions/%5BS1%5D15900%20나무%20탈출/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D15900%20나무%20탈출/submit.cpp)  |
| 15973 | S1 | 두 박스 | 연습문제 | [문제](https://www.acmicpc.net/problem/15973) / [풀이](/solutions/%5BS1%5D15973%20두%20박스/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D15973%20두%20박스/submit.cpp)  |
| 16918 | S1 | 봄버맨 | 연습문제 | [문제](https://www.acmicpc.net/problem/16918) / [풀이](/solutions/%5BS1%5D16918%20봄버맨/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D16918%20봄버맨/submit.cpp)  |
| 1713 | S1 | 후보 추천하기 | 연습문제 | [문제](https://www.acmicpc.net/problem/1713) / [풀이](/solutions/%5BS1%5D1713%20후보%20추천하기/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D1713%20후보%20추천하기/submit.cpp)  |
| 1790 | S1 | 수 이어 쓰기 2 | 연습문제 | [문제](https://www.acmicpc.net/problem/1790) / [풀이](/solutions/%5BS1%5D1790%20수%20이어%20쓰기%202/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D1790%20수%20이어%20쓰기%202/submit.cpp)  |
| 18222 | S1 | 투에-모스 문자열 | 연습문제 | [문제](https://www.acmicpc.net/problem/18222) / [풀이](/solutions/%5BS1%5D18222%20투에-모스%20문자열/) | [![python3](/assets/python3.svg)](/solutions/%5BS1%5D18222%20투에-모스%20문자열/submit.py)  |
| 18405 | S1 | 경쟁적 전염 | 연습문제 | [문제](https://www.acmicpc.net/problem/18405) / [풀이](/solutions/%5BS1%5D18405%20경쟁적%20전염/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D18405%20경쟁적%20전염/submit.cpp)  |
| 18428 | S1 | 감시 피하기 | 연습문제 | [문제](https://www.acmicpc.net/problem/18428) / [풀이](/solutions/%5BS1%5D18428%20감시%20피하기/) | [![python3](/assets/python3.svg)](/solutions/%5BS1%5D18428%20감시%20피하기/submit.py)  |
| 1932 | S1 | 정수 삼각형 | 연습문제 | [문제](https://www.acmicpc.net/problem/1932) / [풀이](/solutions/%5BS1%5D1932%20정수%20삼각형/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D1932%20정수%20삼각형/submit.cpp)  |
| 20055 | S1 | 컨베이어 벨트 위의 로봇 | 연습문제 | [문제](https://www.acmicpc.net/problem/20055) / [풀이](/solutions/%5BS1%5D20055%20컨베이어%20벨트%20위의%20로봇/) | [![python3](/assets/python3.svg)](/solutions/%5BS1%5D20055%20컨베이어%20벨트%20위의%20로봇/submit.py)  |
| 2110 | S1 | 공유기 설치 | 연습문제 | [문제](https://www.acmicpc.net/problem/2110) / [풀이](/solutions/%5BS1%5D2110%20공유기%20설치/) | [![python3](/assets/python3.svg)](/solutions/%5BS1%5D2110%20공유기%20설치/submit.py)  |
| 2293 | S1 | 동전 1 | 연습문제 | [문제](https://www.acmicpc.net/problem/2293) / [풀이](/solutions/%5BS1%5D2293%20동전%201/) | [![python3](/assets/python3.svg)](/solutions/%5BS1%5D2293%20동전%201/submit.py)  |
| 2294 | S1 | 동전 2 | 연습문제 | [문제](https://www.acmicpc.net/problem/2294) / [풀이](/solutions/%5BS1%5D2294%20동전%202/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D2294%20동전%202/submit.cpp) [![python3](/assets/python3.svg)](/solutions/%5BS1%5D2294%20동전%202/submit.py)  |
| 2343 | S1 | 기타레슨 | 연습문제 | [문제](https://www.acmicpc.net/problem/2343) / [풀이](/solutions/%5BS1%5D2343%20기타레슨/) | [![python3](/assets/python3.svg)](/solutions/%5BS1%5D2343%20기타레슨/submit.py)  |
| 2564 | S1 | 경비원 | 연습문제 | [문제](https://www.acmicpc.net/problem/2564) / [풀이](/solutions/%5BS1%5D2564%20경비원/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D2564%20경비원/submit.cpp)  |
| 2608 | S1 | 로마 숫자 | 연습문제 | [문제](https://www.acmicpc.net/problem/2608) / [풀이](/solutions/%5BS1%5D2608%20로마%20숫자/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D2608%20로마%20숫자/submit.cpp)  |
| 3079 | S1 | 입국심사 | 연습문제 | [문제](https://www.acmicpc.net/problem/3079) / [풀이](/solutions/%5BS1%5D3079%20입국심사/) | [![python3](/assets/python3.svg)](/solutions/%5BS1%5D3079%20입국심사/submit.py)  |
| 4889 | S1 | 안정적인 문자열 | 연습문제 | [문제](https://www.acmicpc.net/problem/4889) / [풀이](/solutions/%5BS1%5D4889%20안정적인%20문자열/) | [![cpp](/assets/cpp.svg)](/solutions/%5BS1%5D4889%20안정적인%20문자열/submit.cpp)  |
| 7569 | S1 | 토마토 | 연습문제 | [문제](https://www.acmicpc.net/problem/7569) / [풀이](/solutions/%5BS1%5D7569%20토마토/) | [![python3](/assets/python3.svg)](/solutions/%5BS1%5D7569%20토마토/submit.py)  |
| 4963 | S2 | 섬의 개수 | 연습문제 | [문제](https://www.acmicpc.net/problem/4963) / [풀이](/solutions/%5BS2%5D4963%20섬의%20개수/) | [![python3](/assets/python3.svg)](/solutions/%5BS2%5D4963%20섬의%20개수/submit.py)  |
| 1072 | S3 | 게임 | 연습문제 | [문제](https://www.acmicpc.net/problem/1072) / [풀이](/solutions/%5BS3%5D1072%20게임/) | [![python3](/assets/python3.svg)](/solutions/%5BS3%5D1072%20게임/submit.py)  |
